Season,Climate,City,Cooling startegy_building level,Sex,Clo,Met,Air temperature (C),Relative humidity (%),Air velocity (m/s),ThermalSensation
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.1,34.8,48,0.84,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.5,35.6,46.2,1.53,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.5,35.4,46.4,0.5,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,35.5,46.8,1.2,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,35.5,47,0.12,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1,35.3,48.4,0.9,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,35.1,48,1.24,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.53,1.1,35.6,47.9,0.4,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,35.9,45.6,0.54,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.59,1.1,36,48.2,0.29,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.1,35.7,47.3,0.5,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1,35.7,46.7,0.94,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,35.3,47.5,0.53,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1,34.8,49.2,0.85,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.6,1.3,35.3,47,0.48,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,35.6,45.4,0.45,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.6,1,35.5,46.7,0.25,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.43,1.3,35.3,47.3,0.27,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.6,1.1,35.8,43.8,0.55,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,36,42.3,0.32,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.9,1.1,36.4,41.4,0.16,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.78,1,36,43.5,1.05,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.61,1.4,35.8,44.3,1.15,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1,36.1,38.9,0.19,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.1,36.8,35,0.39,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1,37.2,34.4,0.23,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1.1,38.8,26.3,0.51,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.1,37.2,29.2,0.3,3
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,37.9,26.8,0.33,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.57,1.1,38,26.3,0.59,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.1,37,30.3,0.51,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Female,0.55,1.1,37,34.9,0.21,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.64,1.1,37,35.9,0.29,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.7,1,38.5,33.2,0.56,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.79,1,34.3,51.2,0.45,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.67,1.1,34.5,50.1,0.22,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.74,1,35,48.4,0.34,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1.1,35.3,45.7,0.35,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.47,1,35.4,49.9,0.31,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.68,1,35.3,48.1,0.43,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.61,1,35.2,49,0.14,0
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.52,1,35.2,49.9,0.53,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.55,1,35.4,49.7,1.04,2
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.66,1.1,35.4,49.7,0.79,1
Summer,Hot semi-arid,Ahmedabad,Naturally Ventilated,Male,0.47,1.4,37.4,40.2,0.57,2
